Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
-3.04,100,0.77,80,RU,Yar-Sale,66.83,70.83
21.0,73,6.7,0,GB,Great Yarmouth,52.61,1.73
24.62,90,3.22,76,ML,Kolondieba,11.09,-6.89
27.37,79,1.27,76,PY,Ygatimi,-24.08,-55.5
22.97,62,1.42,8,SD,Kaduqli,11.01,29.72
-0.24,81,4.82,80,RU,Arti,56.43,58.53
15.22,85,1.32,8,ET,Ginir,7.14,40.71
32.0,46,9.8,20,BR,Buriti dos Lopes,-3.18,-41.87
25.37,89,1.22,20,GA,Lambarene,-0.7,10.22
41.0,24,1.52,0,MR,Podor,16.65,-14.96
25.62,26,2.37,0,AR,Santa Rosa,-36.62,-64.29
28.32,31,3.22,0,SD,Marabba,12.35,32.18
7.27,94,1.32,0,RU,Derbent,42.06,48.29
29.67,83,4.12,12,BR,Fuerte Olimpo,-21.04,-57.87
34.87,46,5.22,12,BR,Barreirinhas,-2.75,-42.83
23.47,100,4.77,36,LY,Benghazi,32.12,20.07
7.72,100,4.12,92,CA,Bonavista,48.65,-53.11
22.52,30,5.1,0,SA,Abha,18.22,42.5
19.87,98,8.07,92,MZ,Manjacaze,-24.71,33.88
22.0,68,4.1,20,GR,Karpathos,35.51,27.21
16.51,63,2.1,0,HU,Taplanszentkereszt,47.2,16.7
28.52,52,1.22,44,BF,Gorom-Gorom,14.45,-0.24
26.92,79,4.57,20,GH,Mumford,5.26,-0.76
15.0,77,6.2,0,FI,Vaasa,63.1,21.62
18.0,72,2.1,75,GR,Saint George,39.45,22.34
24.72,95,2.22,56,SL,Jojoima,7.88,-10.79
-2.49,99,2.42,88,RU,Aksarka,66.56,67.8
12.34,93,4.1,92,AU,Sorrento,-31.82,115.75
-15.24,63,0.97,8,CN,Gamba,28.28,88.52
24.67,26,1.87,68,BW,Tsabong,-26.02,22.4
19.02,82,0.42,64,ZM,Mpulungu,-8.77,31.12
11.62,31,6.22,0,RU,Alekseyevskaya,45.77,40.15
7.0,75,7.2,75,IS,Grindavik,63.84,-22.43
10.0,76,3.1,0,AU,Margate,-43.03,147.26
15.33,93,9.8,75,GB,Penzance,50.12,-5.53
20.02,77,4.82,64,BR,Cacapava do Sul,-30.51,-53.49
24.14,38,2.1,0,DE,Marienburg,52.12,9.98
15.4,48,3.6,0,RS,Mana,43.52,20.24
10.67,93,4.27,92,RU,Sheltozero,61.37,35.37
19.12,85,11.07,0,ZA,Plettenberg Bay,-34.05,23.37
27.67,81,2.32,76,SL,Bonthe,7.53,-12.5
27.17,96,5.27,0,IR,Chabahar,25.29,60.65
11.81,98,0.82,92,ZA,Eshowe,-28.89,31.46
1.87,76,3.47,88,RU,Koygorodok,60.44,51.01
14.81,65,4.22,0,PL,Lubawa,53.51,19.75
21.27,91,2.07,0,MG,Ambovombe,-25.18,46.09
8.87,89,4.57,12,RU,Rzhev,56.26,34.33
-1.89,80,1.72,64,RU,Kuloy,61.03,42.49
25.42,67,0.87,8,NG,Zaria,11.11,7.72
29.42,67,1.32,12,BF,Dano,11.14,-3.06
32.82,33,2.42,24,ML,Kolokani,13.58,-8.03
14.62,97,3.22,0,NA,Henties Bay,-22.12,14.28
17.37,49,4.1,0,AT,Landeck,47.14,10.57
22.47,82,4.6,20,CY,Nata,34.78,32.57
